"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.221453042E0,-3.918195089E-1,-1.895300402E-1,-2.087491071E-1,4.827218178E-1
1.231466042E0,-3.321474306E-2,-1.064881758E-1,-7.296681941E-2,1.332933137E-1
1.241478042E0,1.996940359E-1,6.647407115E-2,1.206035006E-1,2.425731116E-1
1.251491042E0,2.357170504E-1,1.783377385E-1,2.134222019E-1,3.645763474E-1
1.261503042E0,1.275642454E-1,1.831036578E-1,1.013416028E-1,2.450912211E-1
1.271515042E0,-1.085865954E-1,1.365494424E-1,-4.030368805E-2,1.790563771E-1
1.281528042E0,-2.895063181E-1,7.690111846E-2,-1.194486755E-1,3.224836063E-1
1.291540042E0,-3.033382722E-1,-2.211270779E-3,-1.848831117E-1,3.552474660E-1
1.301553042E0,-2.372303829E-1,-6.553413123E-3,-1.566165018E-1,2.843412219E-1
1.311565042E0,-1.749371441E-1,3.723594636E-2,4.176432252E-2,1.836675766E-1
1.321578042E0,-1.892355598E-1,6.178606600E-3,1.723156911E-1,2.560097062E-1
1.331590042E0,-2.766524570E-1,-5.059844211E-2,3.136148268E-1,4.212493845E-1
1.341603042E0,-2.921304023E-1,-4.719572805E-2,5.238853794E-1,6.016838867E-1
1.351615042E0,-2.718952355E-1,-9.638038650E-2,6.916741562E-1,7.494193328E-1
1.361628042E0,-3.175918105E-1,-2.179995485E-1,6.521259284E-1,7.574012066E-1
1.371640042E0,-2.494545720E-1,-3.216860309E-1,4.310584921E-1,5.928919881E-1
1.381652042E0,-1.532679476E-1,-2.874998461E-1,2.697916996E-1,4.230068397E-1
1.391665042E0,-2.157227889E-2,-1.174715857E-1,3.033962327E-1,3.260586001E-1
1.401677042E0,1.711397430E-1,3.001690082E-2,3.192731774E-1,3.634902856E-1
1.411690042E0,1.634848606E-1,7.066805966E-2,1.421890819E-1,2.279013148E-1
1.421702042E0,7.194267958E-3,8.465628058E-2,-2.431915462E-2,8.837343840E-2
1.431715042E0,-1.757255680E-1,1.029650091E-1,-7.619682133E-2,2.174562575E-1
1.441727042E0,-2.280643608E-1,7.417127274E-2,-5.158121288E-2,2.453066487E-1
1.451740042E0,-5.766662948E-2,-1.045482159E-3,-2.224807084E-2,6.181836171E-2
1.461752042E0,1.486974715E-1,-3.731312960E-2,-3.708362639E-2,1.577288908E-1
1.471765042E0,2.173862486E-1,-1.336234957E-3,-1.215630287E-1,2.490705454E-1
1.481777042E0,2.158415604E-1,8.097194999E-2,-2.313649678E-1,3.266095287E-1
1.491789042E0,2.607868779E-1,1.449391005E-1,-2.220667255E-1,3.719284462E-1
1.501802042E0,1.660459410E-1,8.812294856E-2,-2.249651903E-1,2.931659009E-1
1.511814042E0,6.174699929E-2,-5.637183666E-2,-2.679299462E-1,2.806722857E-1
1.521827042E0,-5.755553238E-2,-2.124742951E-1,-3.392998910E-1,4.044531882E-1
1.531839042E0,-1.219387488E-1,-3.042499262E-1,-4.253352374E-1,5.369796460E-1
1.541852042E0,-1.275083314E-1,-3.617284946E-1,-5.792895019E-1,6.947533414E-1
1.551864042E0,-9.562335480E-2,-3.263073778E-1,-6.439351487E-1,7.281983291E-1
